slug	cultivar	price	note	url	image	hybridizer	year	parentage	color	branches	budcount	form	foliagetype	seedlingnum	bloomhabit	fragrance	scapeheight	bloomseason	rebloom	bloomsize	ploidy	sculpting	id
elizabeths-kentucky-cupcake	Elizabeth's Kentucky Cupcake			https://daylilies.org/DaylilyDB/detail.php?id=176186	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Elizabeths Kentucky Cupcake.jpg	Herrington-T.	2014	(Blackberry Cupcake × Jan's Little Rascal)	rose pink with darker veining and filigree edges outline in yellow gold above a tiny green yellow throat	5	30	Double 98%	Semi-Evergreen	1-DITB	Diurnal	Fragrant	28 in, (71 cm) 	Early-Midseason,Rebloom		4 in, (10 cm) 	Tetraploid		176186
eloquent-cay	Eloquent Cay	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=154379	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Eloquent_Cay.jpg	Stamile	2006	(Shelter Cove × Spectral Elegance)	melon gold blend with green gold edge above green throat	5	38		Evergreen	4266-A	Diurnal	Fragrant	37 in, (94 cm) 	Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		154379
eloquently-edged	Eloquently Edged	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=143027	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Eloquently_Edged.jpg	Carpenter-J.	2004	(unknown × unknown)	yellow cream with mahogany eye above green throat	3	26		Evergreen	D-20-928	Diurnal	Fragrant	26 in, (66 cm) 	Midseason,Rebloom		6 in, (15 cm) 	Diploid		143027
else-kaiser	Else Kaiser	$8.00		https://daylilies.org/DaylilyDB/detail.php?id=144426	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Else_Kaiser.jpg	Morss	2001	(Black Ambrosia × Bela Lugosi)	ebony purple self above chartreuse throat	2	15		Semi-Evergreen		Extended		28 in, (71 cm) 	Early,Rebloom		5 in, (13 cm) 	Tetraploid		144426
elusive-happiness	Elusive Happiness	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=149458	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/ELUSIVE_HAPPINESS.jpg	Rice-J.	2006	(You Look Marvelous × Chance Encounter)	cream pink with pink edge above green throat	4	21		Semi-Evergreen		Diurnal		34 in, (86 cm) 	Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		149458
emerald-tarantula	Emerald Tarantula			https://daylilies.org/DaylilyDB/detail.php?id=179165	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Emerald Tarantula.jpg	Pierce-G.	2015	(Rolling Raven × Tet. Rose F. Kennedy)	large red with wax like substance above a large green throat	5	35	Unusual FormCascade	Semi-Evergreen	2012-CD	Diurnal		36 in, (91 cm) 	Early-Midseason,Rebloom		11.5 in, (29 cm) 	Tetraploid		179165
emmas-curls	Emma's Curls	$30.00		https://daylilies.org/DaylilyDB/detail.php?id=167157	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Emma's Curls.jpg	Falck-J.	2011	(Lillian's Woman's Touch × Fantasy Frolic)	lemon yellow with yellow to green throat	4	20	Unusual FormCrispate	Evergreen	05-234D	Diurnal		32 in, (81 cm) 	Early-Midseason		8.5 in, (22 cm) 	Diploid		167157
emmaus	Emmaus	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=3327	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Emmaus.jpg	Temple	1998	((Mountain Top Experience × Garden Portrait) × Wilson Spider)	yellow green with heavy maroon chevron above green throat	3	15	Spider 5.20:1	Evergreen	MGW-1-95	Extended		28 in, (71 cm) 	Early-Midseason,Rebloom		10 in, (25 cm) 	Diploid		3327
emperor-butterfly	Emperor Butterfly	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=21006	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Emperor Butterfly.jpg	Munson-R.W.	1986	(Corfu × Royal Saracen)	violet orchid mauve blend with yellow violet eyezone and yellow green throat				Evergreen		Diurnal		28 in, (71 cm) 	Early-Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		21006
endowed-with-charm	Endowed With Charm			https://daylilies.org/DaylilyDB/detail.php?id=148268	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/endowed_with_charm.jpg	Carr	2003	(Diamonds and Pearls × Ransom Note)	yellow with medium yellow edge above green throat	3	25		Evergreen	D&PRN7-24	Diurnal	Fragrant	24 in, (61 cm) 	Midseason,Rebloom		5.75 in, (15 cm) 	Tetraploid		148268
english-lavender	English Lavender			https://daylilies.org/DaylilyDB/detail.php?id=159324	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/English_Lavender.jpg	Stamile	2008	(Arctic Lace × Bella Sera)	lavender self above green throat	6	55		Evergreen	3122	Diurnal		36 in, (91 cm) 	Late,Rebloom		5.75 in, (15 cm) 	Tetraploid		159324
entwined-in-the-vine	Entwined In The Vine			https://daylilies.org/DaylilyDB/detail.php?id=156883	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Entwined_in_the_Vine.jpg	Emmerich	2007	(Destined to See × Julie Newmar)	lavender pink with multicolored patterned lavender violet eye and edge trimmed ivory gold above yellow green throat	2	15		Evergreen	17003	Diurnal	Very Fragrant	32 in, (81 cm) 	Midseason,Rebloom		8 in, (20 cm) 	Tetraploid		156883
etoile	Étoile	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=145420	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/ETOILE.jpg	Holley-S.	2008	(Merry Moppet × Gavin Petit)	pale cream with bright red eye and edge with white star above bright citrine green throat	3	28		Evergreen	E-352 HB	Diurnal		28 in, (71 cm) 	Early-Midseason,Rebloom		5.5 in, (14 cm) 	Tetraploid		145420
etta-hart	Etta Hart	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=148567	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Etta_Hart.jpg	Crochet	2003	(Richfield Grandeur × sdlg)	rose pink blend above chartreuse throat	3	14		Semi-Evergreen	99-20	Extended		25 in, (64 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Diploid		148567
evening-majesty	Evening Majesty			https://daylilies.org/DaylilyDB/detail.php?id=169985	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Evening Majesty.jpg	Salter	2012	(unknown × unknown)	bright, medium purple with a pale cream edge that has tinges of gold and yellow, very full and flat form with the petals edges carrying looping ruffles				Semi-Evergreen	JS15 2012	Diurnal		30 in, (76 cm) 	Midseason,Rebloom		7 in, (18 cm) 	Tetraploid		169985
everybody-loves-tim	Everybody Loves Tim			https://daylilies.org/DaylilyDB/detail.php?id=181656	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/everybodylovestim.jpg	Salter-E.H.	2016	(unknown × unknown)	medium purple with a large circular, chalky lavender eye pattern around a green heart				Evergreen	ES0516	Diurnal		34 in, (86 cm) 	Midseason,Rebloom		4.25 in, (11 cm) 	Diploid		181656
eye-of-truth	Eye Of Truth	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=166261	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Eye-of-Truth.jpg	Gossard	2011	((Heavenly Masquerade × Raspberry Butterflies) × Tet. Carefree Ways)	yellow with a striking maroon eye zone, it is a	4	17	Unusual FormCascade	Dormant	HMRBCFWAYS	Diurnal	Fragrant	38 in, (97 cm) 	Midseason,Rebloom		7.5 in, (19 cm) 	Tetraploid		166261
eyes-right-jones	Eyes right Jones			https://daylilies.org/DaylilyDB/detail.php?id=151642	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Real Eyes Right Jones.jpg	Wilkerson	2006	(Mildred Mitchell × Lavender Arrowhead)	medium peach with dark plum eye and dark plum gold double edge above yellow to green throat	3	16		Evergreen	0405	Diurnal		29 in, (74 cm) 	Midseason,Rebloom		6.5 in, (17 cm) 	Tetraploid		151642
faber-sabre	Faber Sabre	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=160662	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Faber_Sabre.jpg	Owen-P.	2009	((Midwest Majesty × Pink Super Spider) × Lady Fingers)	bright lemon yellow self above huge green throat	4	24		Semi-Evergreen	7D-108	Diurnal	Fragrant	28 in, (71 cm) 	Early-Midseason,Rebloom		7.75 in, (20 cm) 	Diploid		160662
fabulous-black-pearl	Fabulous Black Pearl			https://daylilies.org/DaylilyDB/detail.php?id=159143	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fabulous_Black_Pearl.jpg	Salter	2008		lavender with black purple cream eye and edge above green throat				Semi-Evergreen		Diurnal		25 in, (64 cm) 	Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		159143
fairy-tale-friends	Fairy Tale Friends			https://daylilies.org/DaylilyDB/detail.php?id=178100	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fairy Tale Friends.jpg	Salter-E.H.	2015	(unknown × unknown)	ivory cream with a fractured eye pattern of pale violet, blue and cream, throat is small and bright yellow green				Semi-Evergreen	ES-15-01	Diurnal		29 in, (74 cm) 	Early-Midseason,Rebloom		4 in, (10 cm) 	Tetraploid		178100
fantasy-frolic	Fantasy Frolic			https://daylilies.org/DaylilyDB/detail.php?id=141457	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fantasy_Frolic.jpg	Joiner-J.	2000	(sdlg × sdlg)	apricot blend above light green throat	3	21	Unusual FormCrispate	Evergreen	97-D-JJ-JJ-75	Diurnal		34 in, (86 cm) 	Midseason,Rebloom		10.5 in, (27 cm) 	Diploid		141457
fashion-bug	Fashion Bug			https://daylilies.org/DaylilyDB/detail.php?id=3594	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fashion Bug Guillard_1523382981.jpg	Joiner	1994	(Vanilla Fluff × Big Success)	light rose pink self with yellow green throat			Double	Dormant	90-DD-VF-BS-6	Diurnal	Fragrant	30 in, (76 cm) 	Midseason-Late,Rebloom		5.5 in, (14 cm) 	Diploid		3594
feliz-navidad	Feliz Navidad	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=153712	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Feliz_Navidad.jpg	Carpenter-J.	2006	(sdlg × Jay Farquhar)	bright red with red orange watermark and gold edge above green throat	4	25		Evergreen	Nov.14.7	Diurnal	Fragrant	26 in, (66 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		153712
feminine-fingers	Feminine Fingers			https://daylilies.org/DaylilyDB/detail.php?id=152222	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Feminine_Fingers_2005.jpg	Joiner-J.	2005	(Ruffled Ruckus × Fluttering Beauty)	pink sand self above green yellow throat	3	18	Unusual FormCrispateDouble 90%	Semi-Evergreen	J02-DD-RR-FB-118	Diurnal		28 in, (71 cm) 	Midseason,Rebloom		7 in, (18 cm) 	Diploid		152222
femme-de-joie	Femme De Joie			https://daylilies.org/DaylilyDB/detail.php?id=21828	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Femme_De_Joie.jpg	Hayward-M.	1979		rose on cream blend with cream throat				Dormant	MHA-20	Diurnal		18 in, (46 cm) 	Early-Midseason		6.5 in, (17 cm) 	Diploid		21828
fencing-master	Fencing Master	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=21831	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fencing Master.jpg	Munson-R.W.	1988		claret with chalky claret eyezone and green gold throat				Semi-Evergreen				20 in, (51 cm) 	Early-Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		21831
festive-fall	Festive Fall	$8.00		https://daylilies.org/DaylilyDB/detail.php?id=142976	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Festive_Fall.jpg	Salter	2001		orange pale coral blend with stenciled washed coral yellow eye and edge above green throat	4	30		Semi-Evergreen	98-429	Diurnal		28 in, (71 cm) 	Midseason,Rebloom		5.5 in, (14 cm) 	Tetraploid		142976
fire-agate	Fire Agate			https://daylilies.org/DaylilyDB/detail.php?id=152133	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fire_Agate.jpg	Stamile	2005	(Flamenco Christmas × Tet. Pink Endearment)	red self above green throat			Double 80%	Evergreen	2110	Diurnal		23 in, (58 cm) 	Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		152133
firefly-frenzy	Firefly Frenzy	$30.00		https://daylilies.org/DaylilyDB/detail.php?id=145837	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Firefly_Frenzy.jpg	Joiner-J.	2002	(sdlg × sdlg)	lemon drop self above light green throat	4	25	Unusual FormCrispateDouble 98%	Evergreen	J99-DD-SD-107	Diurnal	Very Fragrant	30 in, (76 cm) 	Midseason,Rebloom		8 in, (20 cm) 	Diploid		145837
fires-of-fuji	Fires Of Fuji	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=21985	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fires_Of_Fuji.jpg	Hudson-B.	1990	((Palace Guard × Troika) × Palace Guard)	red edged orange tan bitone with yellow green throat			Double	Semi-Evergreen	PGTPG-2-83	Diurnal		28 in, (71 cm) 	Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		21985
fireworks-exploding	Fireworks Exploding	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=159996	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fireworks_Exploding.jpg	Shooter-E.	2008		orange red brown blend above yellow orange throat	4	30	Unusual Form	Dormant	02-9040		Very Fragrant	48 in, (122 cm) 	Midseason,Rebloom		10 in, (25 cm) 	Diploid		159996
flames-of-fall	Flames of Fall			https://daylilies.org/DaylilyDB/detail.php?id=183245	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Flames of Fall.jpg	Salter	2017	(unknown × unknown)	bright orange with large red eye, darker red edge, and small, round, yellow green throat				Evergreen	JS17-07	Diurnal		30 in, (76 cm) 	Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		183245
eye-catching	Eye Catching	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=3499	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Eye Catching.jpg	Stamile	1997	(Festive Art ×  (Cherry Drop × Royal Braid))	cream with purple eyezone and edge above a green throat				Evergreen	5266-A	Diurnal	Fragrant	23 in, (58 cm) 	Early-Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		3499
flames-of-summer	Flames Of Summer			https://daylilies.org/DaylilyDB/detail.php?id=167888	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Flames of Summer.jpg	Salter	2011	(unknown × unknown)	pale yellow with a circular orange eye and orange edge	4	25		Semi-Evergreen	Eye 1112	Diurnal		30 in, (76 cm) 	Midseason,Rebloom		5 in, (13 cm) 	Tetraploid		167888
flat-out-fabulous	Flat Out Fabulous			https://daylilies.org/DaylilyDB/detail.php?id=174204	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/flat_out_fabulous.jpg	Harry-P.	2013	((Don't Touch That × Barbara Burkhart) × (God be the Glory × sdlg))	cream yellow with bright red eye and edge	4	24		Semi-Evergreen	8-46	Diurnal		28 in, (71 cm) 	Early-Midseason,Rebloom		7.5 in, (19 cm) 	Tetraploid		174204
flattering-imitation	Flattering Imitation			https://daylilies.org/DaylilyDB/detail.php?id=183246	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Flattering Imitation.jpg	Salter-E.H.	2017	(unknown × unknown)	dark medium rose plum with open flat form, circular eye of light lavender purple, triangular green heart, lighter lavender cream edging on petals and sepals				Evergreen	ES17-09	Diurnal		30 in, (76 cm) 	Midseason,Rebloom		4 in, (10 cm) 	Diploid		183246
fly-by-midnight	Fly By Midnight			https://daylilies.org/DaylilyDB/detail.php?id=178061	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fly By Midnight.jpg	Salter	2015	(unknown × unknown)	pale ivory cream with a large triangular dark plum purple eye and a dark purple edge, throat is yellow green, substance is smooth, well branched scapes				Evergreen	JS-15-7	Diurnal		30 in, (76 cm) 	Early-Midseason,Rebloom		7 in, (18 cm) 	Tetraploid		178061
focus-on-the-storm	Focus on the Storm			https://daylilies.org/DaylilyDB/detail.php?id=157168	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Focus_on_the_Storm.jpg	Hansen-D.	2007	(((Land Shark × Julie Newmar) × Odds and Ends) × (Roses in Snow × Visual Intrigue))	fuchsia rose with rose plum eye and edge above green throat	3	25		Evergreen	5DARKEE			35 in, (89 cm) 	Midseason,Rebloom		7 in, (18 cm) 	Tetraploid		157168
follow-your-fancy	Follow Your Fancy			https://daylilies.org/DaylilyDB/detail.php?id=167362	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Follow Your Fancy.jpg	DeVito	2011	(unknown × unknown)	dusty rose with large darker violet blue eyes lined in bright raspberry mascara	3	24		Evergreen	NH08-219	Diurnal		30 in, (76 cm) 	Early-Midseason		6.5 in, (17 cm) 	Tetraploid		167362
for-lois	For Lois			https://daylilies.org/DaylilyDB/detail.php?id=171286	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/For_Lois.jpg	DeVito	2012	(Dragonfly Charmer × Blue Lake)	bright purple with large violet watermark, nicely ruffled double edge of violet and yellow	6	40		Semi-Evergreen	ND10-302	Diurnal	Fragrant	35 in, (89 cm) 	Early-Midseason,Rebloom		7 in, (18 cm) 	Tetraploid		171286
forever-red	Forever Red	$8.00		https://daylilies.org/DaylilyDB/detail.php?id=3842	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Forever Red.jpg	Kirchhoff-D.	1993	(Vintage Bordeaux × Autumn Valentine)	velvet cherry red self with green throat				Evergreen		Extended		25 in, (64 cm) 	Midseason,Rebloom		5.5 in, (14 cm) 	Tetraploid		3842
forgotten-dreams	Forgotten Dreams	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=3848	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Forgotten Dreams.jpg	Elliott	1999	((Ra Hansen × Everyday Miracles) × Blue and Velvet)	gray blue with deep wine eye above lime throat	4	27		Semi-Evergreen	3-A42	Extended	Fragrant	25 in, (64 cm) 	Midseason-Late,Rebloom		6.5 in, (17 cm) 	Diploid		3848
forty-second-street	Forty Second Street	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=3974	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Forty_Second_Street.jpg	Kirchhoff-D.	1991		pastel pink with bright rose eyezone above yellow to green throat			Double	Evergreen	BPE-1	Extended		24 in, (61 cm) 	Midseason,Rebloom		5 in, (13 cm) 	Diploid		3974
frank-gladney	Frank Gladney	$6.00		https://daylilies.org/DaylilyDB/detail.php?id=22486	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frank_Gladney.jpg	Durio	1979	((Papal Court × Tet. Pink Hurricane) × Tet. Sari)	hot coral cerise self with gold throat				Evergreen	P 78-21	Diurnal		26 in, (66 cm) 	Early-Midseason,Rebloom		6.5 in, (17 cm) 	Tetraploid		22486
frank-teele	Frank Teele	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=4002	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/FRANK TEELE.jpg	Salter	1994	(sdlg × Quest for Excalibur)	light burgundy self with green throat				Evergreen		Diurnal		26 in, (66 cm) 	Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		4002
franks-star-of-bethlehem	Frank's Star Of Bethlehem	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=149733	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/frank's_star_of_bethlehem.jpg	Grace-Smith	2004	(sdlg × sdlg)	lavender purple with lighter watermark and gold edge above green throat	4	28		Semi-Evergreen		Diurnal		26 in, (66 cm) 	Early,Rebloom		5.5 in, (14 cm) 	Tetraploid		149733
frankenflower	Frankenflower	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=161970	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frankenflower.jpg	Hansen-D.	2009	(sdlg × (Julianna Lynn × Tet. Barn Owl))	flesh with blue eye above green throat	5	25	Double 33%	Evergreen	8DBB0			33 in, (84 cm) 	Extra Early,Rebloom		5.25 in, (13 cm) 	Tetraploid		161970
free-the-night	Free The Night			https://daylilies.org/DaylilyDB/detail.php?id=170556	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/FreeTheNight.jpg	DeVito	2012	(unknown × unknown)	magenta background under bright purple eye with large double edge of purple and light yellow all above a green throat	5	27		Evergreen	ND09-22	Diurnal	Fragrant	31 in, (79 cm) 	Early-Midseason,Rebloom		6.5 in, (17 cm) 	Tetraploid		170556
free-wheelin	Free Wheelin'	$20.00		https://daylilies.org/DaylilyDB/detail.php?id=149787	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Free_Wheelin.jpg	Stamile	2004	(Wild and Wonderful × Tet. Marked by Lydia)	cream yellow with burgundy red eye above emerald green throat	6	48	Spider 4.69:1	Evergreen	254-A	Diurnal		34 in, (86 cm) 	Extra Early,Rebloom		9 in, (23 cm) 	Tetraploid		149787
freedoms-triumph	Freedom's Triumph	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=152629	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Freedom's_Triumph.jpg	Carpenter-J.	2005	(Essence of Royalty × sdlg)	lavender purple with white lavender cream watermark above green throat	5	35		Evergreen	T-01-44	Diurnal	Fragrant	28 in, (71 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		152629
frills-and-fancies	Frills And Fancies	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=4046	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frills_And_Fancies.jpg	Joiner-J.	1996		tiger lily orange blend with a green throat			Double	Evergreen	92-DD-JJ-FJ-JJ-2	Diurnal	Fragrant	28 in, (71 cm) 	Midseason-Late,Rebloom		5 in, (13 cm) 	Diploid		4046
frilly-bliss	Frilly Bliss	$10.00	sale 8 sf	https://daylilies.org/DaylilyDB/detail.php?id=4049	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frilly_Bliss.jpg	Joiner-J.	1998	(sdlg × sdlg)	powder pink with rose halo and green throat	6	36	Unusual FormCascade	Evergreen	96-DD-SpD-7	Diurnal		34 in, (86 cm) 	Midseason-Late		9 in, (23 cm) 	Diploid		4049
frost-burned	Frost Burned			https://daylilies.org/DaylilyDB/detail.php?id=181562	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/frostburned.jpg	Salter	2016	(unknown × unknown)	pale ivory, creamy yellow flower with a deeper ruffled yellow edge				Semi-Evergreen	JS0616	Diurnal		29 in, (74 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		181562
frosted-vintage-ruffles	Frosted Vintage Ruffles	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=141028	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Frosted_Vintage_Ruffles.jpg	Begnaud	2000	(Beautiful Edgings × Attic Antique)	cream blend with pink edge above yellow green throat	4	20		Dormant	BE-AA-1-95	Diurnal	Very Fragrant	24 in, (61 cm) 	Early,Rebloom		4.5 in, (11 cm) 	Diploid		141028
full-throttle	Full Throttle	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=161565	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Full Throttle.jpg	Petit	2010	((Ruby Pearl Sullivan × Passion in Paris) × Ruby Pearl Sullivan)	deep red with a lighter watermark and wire gold edge				Semi-Evergreen	F-10-09	Diurnal		28 in, (71 cm) 	Midseason,Rebloom		6.5 in, (17 cm) 	Tetraploid		161565
fully-blessed	Fully Blessed	$30.00		https://daylilies.org/DaylilyDB/detail.php?id=176841	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/FULLY BLESSED.jpg	Waldrop	2014	(Cerise Masterpiece × Tet. Dena Marie)	pink with an ivory eye and a yellow throat	4	31		Dormant		Diurnal		33 in, (84 cm) 	Early-Midseason,Rebloom		7 in, (18 cm) 	Tetraploid		176841
gadsden-goliath	Gadsden Goliath	$8.00		https://daylilies.org/DaylilyDB/detail.php?id=22782	https://www.daylilies.org/DaylilyDB/AHSPhoto/G/gadsden goliath.jpg	Reinke	1990	(Kindly Light × Open Hearth)	red spider with gold midribs and bright gold throat			Spider 5.00:1	Semi-Evergreen	1-KL-88	Diurnal	Fragrant	36 in, (91 cm) 	Early-Midseason		9.5 in, (24 cm) 	Diploid		22782
galactic-green	Galactic Green			https://daylilies.org/DaylilyDB/detail.php?id=179172	https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Galactic Green.jpg	Pierce-G.	2015	(Emerald Prism × Tet. Rose F. Kennedy)	purple base, darker purple eye and huge green throat with extra heavy substance	4	25		Semi-Evergreen	2098-B	Diurnal		34 in, (86 cm) 	Early-Midseason,Rebloom		8.25 in, (21 cm) 	Tetraploid		179172
gary-colby	Gary Colby			https://daylilies.org/DaylilyDB/detail.php?id=152973	https://www.daylilies.org/DaylilyDB/AHSPhoto/G/gary_colby.jpg	Petit	2005	(John Peat × Moment In the  Sun)	rose with gold edge above green throat				Semi-Evergreen		Diurnal	Fragrant	26 in, (66 cm) 	Midseason,Rebloom		8 in, (20 cm) 	Tetraploid		152973
gavin-petit	Gavin Petit	$18.00		https://daylilies.org/DaylilyDB/detail.php?id=150064	https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Gavin_Petit_Copy.jpg	Petit	2004	(Awesome Blossom × (sdlg × Only Believe))	tangerine with black eye and edge above green throat				Semi-Evergreen	S-05-01	Diurnal	Fragrant	27 in, (69 cm) 	Midseason,Rebloom		6.5 in, (17 cm) 	Tetraploid		150064
geechee-ho-down	Geechee Ho-Down	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=157102	https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Geechee_Ho-Down.jpg	Joiner-J.	2007	(sdlg × sdlg)	holly berry wash cream yellow bicolor	3	13		Evergreen	J03-T-IAM-PPSSMM-162	Diurnal		36 in, (91 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		157102
geneva-chainsaw	Geneva Chainsaw	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=150929	https://www.daylilies.org/DaylilyDB/AHSPhoto/G/GENEVA_CHAINSAW.jpg	Hansen-D.	2004	(Cliffs of Abique × (Land Shark × Chama Valley))	orange yellow green with white tooth edge above green throat	4	24	Unusual FormCrispate-Spatulate	Semi-Evergreen	2CLRLSCV	Diurnal		31 in, (79 cm) 	Early-Midseason,Rebloom		8 in, (20 cm) 	Tetraploid		150929
geneva-firetruck	Geneva Firetruck	$8.00		https://daylilies.org/DaylilyDB/detail.php?id=144717	https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Geneva_Firetruck.jpg	Hansen-D.	2001	(Roses in Snow × (Calgary Stampede × Alexandra))	red with yellow edge above green yellow throat	4	18		Semi-Evergreen	Red Edge	Diurnal		30 in, (76 cm) 	Early-Midseason,Rebloom		5.5 in, (14 cm) 	Tetraploid		144717
gentle-shepherd	Gentle Shepherd			https://daylilies.org/DaylilyDB/detail.php?id=23133	https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Gentle Shepherd.jpg	Yancey	1980	(sdlg × sdlg)	near white self with yellow green throat				Semi-Evergreen	NW 39-78	Diurnal		29 in, (74 cm) 	Early-Midseason		5 in, (13 cm) 	Diploid		23133
