slug	cultivar	price	note	url	image	hybridizer	year	parentage	color	branches	budcount	form	foliagetype	seedlingnum	bloomhabit	fragrance	scapeheight	bloomseason	rebloom	bloomsize	ploidy	sculpting	id
egyptian-jewel	Egyptian Jewel	$15.00		https://daylilies.org/DaylilyDB/detail.php?id=153327		Salter-E.H.	2005		cream with black plum eye above green throat	4	30		Semi-Evergreen		Diurnal		22 in, (56 cm) 	Midseason,Rebloom		2 in, (5 cm) 	Diploid		153327
elly-launius	Elly Launius	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=161029	https://www.daylilies.org/DaylilyDB/AHSPhoto/E/Elly Launius- Travis_1548534412.jpg	Gates-L.	1992		purple with dark purple halo above chalky green throat				Evergreen	#PU199-88	Extended		26 in, (66 cm) 	Early,Rebloom		6 in, (15 cm) 			161029
exotic-gown	Exotic Gown			https://daylilies.org/DaylilyDB/detail.php?id=21404		Millikan-B.	1985	(Brocaded Gown × Wynnson)	lemon yellow self with green throat				Evergreen	259-81A	Extended		24 in, (61 cm) 	Early,Rebloom		5 in, (13 cm) 	Diploid		21404
free-state-of-jones	Free State Of Jones	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=153599		Townsend-J.	2005	(Ed Brown × Clothed In Glory)	pink with sparkling gold edge above green throat	4	16		Semi-Evergreen	GE004	Diurnal		26 in, (66 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		153599
fruit-loops	Fruit Loops	$6.00		https://daylilies.org/DaylilyDB/detail.php?id=22694	https://www.daylilies.org/DaylilyDB/AHSPhoto/F/Fruit Loops  Wild 1980_1548290520.jpg	Wild	1980		Cantaloupe edged red violet with yellow green throat				Dormant	  Ls	Diurnal		30 in, (76 cm) 	Midseason-Late		6.5 in, (17 cm) 	Diploid		22694
future-design	Future Design	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=22765		Joiner	1990	(Ivory Cloud × Frances Joiner)	amber rose blend with green throat				Evergreen	88-DD-IC-J-J-70	Diurnal	Fragrant	26 in, (66 cm) 	Midseason-Late,Rebloom		6 in, (15 cm) 	Diploid		22765
grand-marshal	Grand Marshal			https://daylilies.org/DaylilyDB/detail.php?id=4417	https://www.daylilies.org/DaylilyDB/AHSPhoto/G/Grand Marshal_Brown EC from Jeanne Rowles_1550445581.JPG	Brown-E.C.	1993	(Kathleen Salter × Tet. Ruffled Ivory)	ivory yellow self with green throat				Semi-Evergreen	Y.RUF.-X4	Extended		28 in, (71 cm) 	Early-Midseason		6.5 in, (17 cm) 	Tetraploid		4417
grand-merci	Grand Merci	$6.00		https://daylilies.org/DaylilyDB/detail.php?id=24085		Kirchhoff-D.	1985	(Chicago Candy Cane × (Inner View × Ming Porcelain))	rose with deeper edge and green throat				Semi-Evergreen	833-CCC-I-85	Extended	Fragrant	22 in, (56 cm) 	Early-Midseason,Rebloom		5.25 in, (13 cm) 	Tetraploid		24085
jims-smile	Jim's Smile	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=159712		Townsend-J.	2008	(Shelby Ishee × Ultimate Destiny)	light peach with purple eye and white edge above gold to green throat	3	16		Semi-Evergreen	SIUD031	Diurnal		26 in, (66 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Diploid		159712
la-fenice	La Fenice	$6.00	sale 12 sf	https://daylilies.org/DaylilyDB/detail.php?id=27789		Munson-R.W.	1988		salmon rose self with green gold throat				Evergreen		Diurnal		22 in, (56 cm) 	Early-Midseason,Rebloom		6 in, (15 cm) 	Tetraploid		27789
lies-and-lipstick	Lies And Lipstick	$10.00		https://daylilies.org/DaylilyDB/detail.php?id=148258		Kinnebrew-J.	2003	(Spacecoast Dragon Prince × sdlg)	pink with red eye and red gold edge above green throat	3	22		Semi-Evergreen	scdpxsdlg	Diurnal		25 in, (64 cm) 	Early-Midseason,Rebloom		5.5 in, (14 cm) 	Tetraploid		148258
lines-of-splendor	Lines of Splendor	$8.00		https://daylilies.org/DaylilyDB/detail.php?id=6265		Temple	1993	(Green Widow × Garden Portrait)	yellow green with soft rose red eyezone above green throat			Spider 5.20:1	Evergreen	TDS-3-93	Extended		25 in, (64 cm) 	Early,Rebloom		8.5 in, (22 cm) 	Diploid		6265
little-pink-cloud	Little Pink Cloud			https://daylilies.org/DaylilyDB/detail.php?id=29229	https://www.daylilies.org/DaylilyDB/AHSPhoto/L/Little Pink Cloud- Wood_1560873713.jpg	Winniford-E.	1985		coral pink self with green throat				Semi-Evergreen	EW-84-001-D			19 in, (48 cm) 	Early		3 in, (8 cm) 	Diploid		29229
little-rosy-cloud	Little Rosy Cloud	$12.00		https://daylilies.org/DaylilyDB/detail.php?id=29285	https://www.daylilies.org/DaylilyDB/AHSPhoto/L/Little Rosy Cloud_Winniford E from Jeanne Rowles_1550444098.jpg	Winniford-E.	1985		orchid pink self with green throat				Semi-Evergreen	EW-84-015 D			22 in, (56 cm) 	Early		3.5 in, (9 cm) 	Diploid		29285
